document	term	count
1861-Lincoln	profess	1
1861-Lincoln	maintained	1
1861-Lincoln	true	2
1933-Roosevelt	true	2
1861-Lincoln	denied	2
1861-Lincoln	think	4
1861-Lincoln	happily	1
1861-Lincoln	human	1
1933-Roosevelt	human	1
1961-Kennedy	human	3
1861-Lincoln	mind	1
1861-Lincoln	constituted	1
1861-Lincoln	reach	2
1861-Lincoln	audacity	1
1861-Lincoln	single	2
1861-Lincoln	instance	2
1861-Lincoln	numbers	1
1861-Lincoln	majority	5
1861-Lincoln	deprive	1
1861-Lincoln	minority	6
1861-Lincoln	clearly	1
1861-Lincoln	moral	2
1933-Roosevelt	moral	2
1861-Lincoln	point	2
1933-Roosevelt	point	1
1861-Lincoln	justify	1
1861-Lincoln	revolution	1
1961-Kennedy	revolution	2
1861-Lincoln	certainly	1
1861-Lincoln	were	2
1933-Roosevelt	were	2
1861-Lincoln	minorities	2
1861-Lincoln	individuals	1
1861-Lincoln	assured	1
1861-Lincoln	affirmations	1
1861-Lincoln	negations	1
1861-Lincoln	guaranties	1
1861-Lincoln	prohibitions	1
1861-Lincoln	controversies	2
1861-Lincoln	arise	1
1861-Lincoln	concerning	1
1861-Lincoln	framed	1
1861-Lincoln	specifically	1
1861-Lincoln	applicable	1
1861-Lincoln	question	1
1861-Lincoln	occur	1
1861-Lincoln	practical	1
1933-Roosevelt	practical	2
1861-Lincoln	foresight	1
1861-Lincoln	anticipate	1
1861-Lincoln	document	1
1861-Lincoln	length	1
1861-Lincoln	contain	1
1861-Lincoln	questions	5
1861-Lincoln	say	4
1861-Lincoln	prohibit	1
1861-Lincoln	territories	2
1861-Lincoln	must	8
1933-Roosevelt	must	9
1961-Kennedy	must	1
1861-Lincoln	protect	2
1933-Roosevelt	protect	1
1861-Lincoln	class	1
1861-Lincoln	spring	1
1861-Lincoln	divide	2
1961-Kennedy	divide	1
1861-Lincoln	majorities	1
1861-Lincoln	acquiesce	2
1861-Lincoln	cease	2
1861-Lincoln	alternative	1
1861-Lincoln	continuing	1
1861-Lincoln	acquiescence	1
1861-Lincoln	side	3
1933-Roosevelt	side	1
1861-Lincoln	secede	4
1861-Lincoln	rather	2
1861-Lincoln	turn	2
1861-Lincoln	ruin	1
1861-Lincoln	whenever	2
1861-Lincoln	refuses	1
1861-Lincoln	controlled	1
1861-Lincoln	new	3
1933-Roosevelt	new	1
1961-Kennedy	new	7
1861-Lincoln	confederacy	1
1861-Lincoln	year	1
1961-Kennedy	year	2
1861-Lincoln	two	1
1933-Roosevelt	two	2
1961-Kennedy	two	1
1861-Lincoln	hence	1
1861-Lincoln	arbitrarily	1
1861-Lincoln	portions	1
1861-Lincoln	cherish	1
1861-Lincoln	disunion	1
1861-Lincoln	educated	1
1861-Lincoln	exact	1
1861-Lincoln	identity	1
1861-Lincoln	interests	1
1861-Lincoln	compose	1
1861-Lincoln	produce	1
1933-Roosevelt	produce	1
1861-Lincoln	harmony	1
1861-Lincoln	renewed	1
1861-Lincoln	secession	2
1861-Lincoln	central	1
1861-Lincoln	idea	1
1861-Lincoln	essence	1
1861-Lincoln	anarchy	3
1861-Lincoln	restraint	1
1861-Lincoln	checks	1
1861-Lincoln	limitations	1
1861-Lincoln	always	2
1933-Roosevelt	always	1
1961-Kennedy	always	4
1861-Lincoln	changing	1
1861-Lincoln	easily	1
1861-Lincoln	deliberate	1
1861-Lincoln	changes	1
1933-Roosevelt	changes	2
1861-Lincoln	popular	1
1861-Lincoln	opinions	1
1861-Lincoln	sovereign	1
1961-Kennedy	sovereign	1
1861-Lincoln	whoever	1
1861-Lincoln	rejects	1
1861-Lincoln	necessity	1
1933-Roosevelt	necessity	1
1861-Lincoln	despotism	2
1861-Lincoln	rule	1
1861-Lincoln	permanent	1
1933-Roosevelt	permanent	1
1861-Lincoln	arrangement	1
1933-Roosevelt	arrangement	1
1861-Lincoln	wholly	1
1933-Roosevelt	wholly	1
1861-Lincoln	inadmissible	1
1861-Lincoln	rejecting	1
1861-Lincoln	principle	1
1861-Lincoln	left	1
1861-Lincoln	forget	1
1961-Kennedy	forget	1
1861-Lincoln	position	1
1933-Roosevelt	position	1
1861-Lincoln	assumed	1
1861-Lincoln	decided	1
1861-Lincoln	supreme	2
1861-Lincoln	court	3
1933-Roosevelt	court	1
1861-Lincoln	decisions	3
1861-Lincoln	binding	1
1861-Lincoln	suit	2
1861-Lincoln	also	2
1861-Lincoln	high	1
1933-Roosevelt	high	2
1961-Kennedy	high	1
1861-Lincoln	respect	1
1861-Lincoln	consideration	1
1933-Roosevelt	consideration	1
1861-Lincoln	parallel	1
1861-Lincoln	departments	1
1861-Lincoln	obviously	1
1861-Lincoln	decision	1
1933-Roosevelt	decision	1
1861-Lincoln	erroneous	1
1861-Lincoln	still	4
1933-Roosevelt	still	3
1961-Kennedy	still	1
1861-Lincoln	evil	1
1861-Lincoln	following	1
1861-Lincoln	limited	1
1861-Lincoln	chance	1
1861-Lincoln	overruled	1
1861-Lincoln	become	1
1961-Kennedy	become	1
1861-Lincoln	borne	1
1861-Lincoln	evils	1
1933-Roosevelt	evils	1
1861-Lincoln	practice	1
1861-Lincoln	candid	1
1861-Lincoln	citizen	1
1861-Lincoln	confess	1
1861-Lincoln	policy	1
1933-Roosevelt	policy	3
1861-Lincoln	affecting	1
1861-Lincoln	irrevocably	1
1861-Lincoln	fixed	1
1861-Lincoln	instant	1
1861-Lincoln	ordinary	1
1861-Lincoln	litigation	1
1861-Lincoln	between	4
1861-Lincoln	actions	1
1861-Lincoln	ceased	1
1861-Lincoln	rulers	1
1933-Roosevelt	rulers	1
1861-Lincoln	practically	1
1861-Lincoln	resigned	1
1861-Lincoln	hands	4
1961-Kennedy	hands	2
1861-Lincoln	eminent	1
1861-Lincoln	tribunal	2
1861-Lincoln	assault	1
1861-Lincoln	judges	1
1861-Lincoln	shrink	1
1933-Roosevelt	shrink	1
1961-Kennedy	shrink	1
1861-Lincoln	decide	1
1861-Lincoln	properly	1
1861-Lincoln	brought	1
1861-Lincoln	fault	1
1861-Lincoln	theirs	1
1861-Lincoln	purposes	1
1933-Roosevelt	purposes	1
1861-Lincoln	country	3
1933-Roosevelt	country	1
1961-Kennedy	country	4
1861-Lincoln	believes	2
1861-Lincoln	extended	2
1861-Lincoln	wrong	1
1861-Lincoln	substantial	1
1861-Lincoln	dispute	2
1861-Lincoln	fugitive-slave	1
1861-Lincoln	suppression	1
1861-Lincoln	foreign	2
1933-Roosevelt	foreign	2
1861-Lincoln	trade	2
1933-Roosevelt	trade	3
1861-Lincoln	perhaps	1
1961-Kennedy	perhaps	1
1861-Lincoln	community	1
1861-Lincoln	imperfectly	2
1861-Lincoln	supports	1
1861-Lincoln	body	1
1861-Lincoln	dry	1
1861-Lincoln	obligation	1
1933-Roosevelt	obligation	1
1861-Lincoln	few	1
1961-Kennedy	few	2
1861-Lincoln	over	3
1861-Lincoln	perfectly	1
1861-Lincoln	cured	1
1861-Lincoln	worse	1
1861-Lincoln	after	3
1861-Lincoln	separation	3
1861-Lincoln	sections	2
1861-Lincoln	suppressed	1
1861-Lincoln	ultimately	1
1861-Lincoln	revived	1
1861-Lincoln	without	3
1933-Roosevelt	without	3
1861-Lincoln	restriction	1
1861-Lincoln	partially	1
1861-Lincoln	physically	1
1861-Lincoln	speaking	1
1861-Lincoln	separate	1
1861-Lincoln	remove	1
1861-Lincoln	respective	1
1861-Lincoln	build	1
1933-Roosevelt	build	1
1861-Lincoln	impassable	1
1861-Lincoln	wall	1
1861-Lincoln	husband	1
1861-Lincoln	wife	1
1861-Lincoln	divorced	1
1861-Lincoln	remain	1
1961-Kennedy	remain	1
1861-Lincoln	face	2
1933-Roosevelt	face	4
1861-Lincoln	intercourse	3
1861-Lincoln	either	6
1861-Lincoln	amicable	1
1861-Lincoln	hostile	1
1961-Kennedy	hostile	1
1861-Lincoln	advantageous	1
1861-Lincoln	satisfactory	1
1861-Lincoln	aliens	2
1861-Lincoln	treaties	2
1861-Lincoln	easier	1
1861-Lincoln	friends	3
1961-Kennedy	friends	1
1861-Lincoln	suppose	1
1861-Lincoln	war	2
1933-Roosevelt	war	2
1961-Kennedy	war	4
1861-Lincoln	fight	1
1861-Lincoln	loss	1
1933-Roosevelt	loss	2
1861-Lincoln	sides	1
1961-Kennedy	sides	8
1861-Lincoln	gain	1
1861-Lincoln	fighting	1
1861-Lincoln	identical	1
1861-Lincoln	belongs	1
1861-Lincoln	inhabit	1
1861-Lincoln	grow	1
1861-Lincoln	weary	1
1861-Lincoln	amending	1
1861-Lincoln	dismember	1
1861-Lincoln	overthrow	1
1861-Lincoln	ignorant	1
1861-Lincoln	worthy	1
1861-Lincoln	patriotic	1
1861-Lincoln	desirous	1
1861-Lincoln	amended	1
1861-Lincoln	recommendation	1
1861-Lincoln	amendments	3
1861-Lincoln	fully	1
1861-Lincoln	recognize	1
1933-Roosevelt	recognize	1
1861-Lincoln	modes	1
1861-Lincoln	favor	1
1933-Roosevelt	favor	1
1861-Lincoln	oppose	1
1961-Kennedy	oppose	2
1861-Lincoln	fair	1
1861-Lincoln	opportunity	1
1861-Lincoln	afforded	1
1861-Lincoln	act	1
1933-Roosevelt	act	3
1861-Lincoln	venture	1
1861-Lincoln	convention	1
1861-Lincoln	mode	1
1861-Lincoln	preferable	1
1861-Lincoln	allows	1
1861-Lincoln	originate	1
1861-Lincoln	instead	1
1961-Kennedy	instead	2
1861-Lincoln	permitting	1
1861-Lincoln	reject	1
1861-Lincoln	propositions	1
1861-Lincoln	originated	1
1861-Lincoln	chosen	1
1861-Lincoln	wish	1
1861-Lincoln	accept	1
1861-Lincoln	refuse	1
1861-Lincoln	understand	1
1861-Lincoln	proposed	1
1933-Roosevelt	proposed	1
1861-Lincoln	amendment	2
1861-Lincoln	seen	1
1861-Lincoln	passed	1
1961-Kennedy	passed	2
1861-Lincoln	including	1
1861-Lincoln	avoid	1
1861-Lincoln	misconstruction	1
1861-Lincoln	said	1
1861-Lincoln	depart	1
1861-Lincoln	objection	1
1861-Lincoln	irrevocable	1
1861-Lincoln	chief	1
1961-Kennedy	chief	1
1861-Lincoln	magistrate	1
1861-Lincoln	derives	1
1861-Lincoln	referred	1
1861-Lincoln	fix	1
1861-Lincoln	nothing	2
1861-Lincoln	administer	1
1861-Lincoln	came	1
1861-Lincoln	transmit	1
1861-Lincoln	unimpaired	2
1861-Lincoln	successor	1
1861-Lincoln	patient	1
1961-Kennedy	patient	1
1861-Lincoln	confidence	1
1933-Roosevelt	confidence	2
1861-Lincoln	ultimate	1
1861-Lincoln	justice	3
1961-Kennedy	justice	1
1861-Lincoln	world	1
1933-Roosevelt	world	6
1961-Kennedy	world	8
1861-Lincoln	differences	1
1861-Lincoln	almighty	1
1961-Kennedy	almighty	1
1861-Lincoln	ruler	1
1861-Lincoln	nations	1
1961-Kennedy	nations	5
1861-Lincoln	eternal	1
1861-Lincoln	truth	2
1933-Roosevelt	truth	2
1861-Lincoln	north	1
1961-Kennedy	north	1
1861-Lincoln	yours	1
1933-Roosevelt	yours	1
1861-Lincoln	south	1
1961-Kennedy	south	2
1861-Lincoln	prevail	1
1861-Lincoln	live	1
1933-Roosevelt	live	1
1861-Lincoln	wisely	1
1933-Roosevelt	wisely	1
1861-Lincoln	servants	1
1861-Lincoln	mischief	1
1861-Lincoln	wisdom	1
1933-Roosevelt	wisdom	1
1861-Lincoln	return	1
1933-Roosevelt	return	3
1861-Lincoln	short	2
1861-Lincoln	intervals	1
1861-Lincoln	retain	1
1861-Lincoln	virtue	1
1861-Lincoln	vigilance	1
1861-Lincoln	extreme	1
1861-Lincoln	wickedness	1
1861-Lincoln	folly	1
1861-Lincoln	seriously	1
1861-Lincoln	injure	1
1861-Lincoln	space	1
1861-Lincoln	countrymen	1
1861-Lincoln	calmly	1
1861-Lincoln	valuable	1
1861-Lincoln	taking	2
1861-Lincoln	hurry	1
1861-Lincoln	hot	1
1861-Lincoln	haste	1
1861-Lincoln	deliberately	1
1861-Lincoln	frustrated	2
1861-Lincoln	dissatisfied	3
1861-Lincoln	sensitive	1
1861-Lincoln	framing	1
1861-Lincoln	immediate	1
1933-Roosevelt	immediate	2
1861-Lincoln	admitted	1
1933-Roosevelt	admitted	1
1861-Lincoln	reason	1
1861-Lincoln	precipitate	1
1861-Lincoln	intelligence	1
1861-Lincoln	patriotism	1
1861-Lincoln	christianity	1
1861-Lincoln	firm	1
1933-Roosevelt	firm	1
1861-Lincoln	reliance	1
1861-Lincoln	forsaken	1
1861-Lincoln	favored	1
1861-Lincoln	land	2
1933-Roosevelt	land	2
1961-Kennedy	land	1
1861-Lincoln	adjust	1
1861-Lincoln	way	1
1933-Roosevelt	way	2
1861-Lincoln	fellow-countrymen	1
1861-Lincoln	mine	1
1961-Kennedy	mine	1
1861-Lincoln	momentous	1
1861-Lincoln	issue	1
1961-Kennedy	issue	1
1861-Lincoln	civil	1
1861-Lincoln	assail	1
1861-Lincoln	conflict	1
1861-Lincoln	yourselves	1
1861-Lincoln	aggressors	1
1861-Lincoln	registered	1
1933-Roosevelt	registered	1
1861-Lincoln	heaven	1
1861-Lincoln	solemn	1
1961-Kennedy	solemn	1
1861-Lincoln	preserve	1
1861-Lincoln	am	1
1933-Roosevelt	am	3
1861-Lincoln	loath	1
1861-Lincoln	close	1
1861-Lincoln	enemies	2
1961-Kennedy	enemies	2
1861-Lincoln	though	1
1933-Roosevelt	though	1
1961-Kennedy	though	2
1861-Lincoln	passion	1
1861-Lincoln	strained	1
1861-Lincoln	bonds	1
1961-Kennedy	bonds	1
1861-Lincoln	affection	1
1861-Lincoln	mystic	1
1861-Lincoln	chords	1
1861-Lincoln	memory	1
1861-Lincoln	stretching	1
1861-Lincoln	battlefield	1
1861-Lincoln	patriot	1
1861-Lincoln	living	1
1861-Lincoln	heart	1
1861-Lincoln	hearthstone	1
1861-Lincoln	broad	1
1933-Roosevelt	broad	1
1861-Lincoln	swell	1
1861-Lincoln	chorus	1
1861-Lincoln	touched	1
1861-Lincoln	angels	1
1933-Roosevelt	fellow	2
1961-Kennedy	fellow	4
1933-Roosevelt	americans	1
1961-Kennedy	americans	4
1933-Roosevelt	expect	1
1961-Kennedy	expect	1
1933-Roosevelt	induction	1
1933-Roosevelt	presidency	1
1933-Roosevelt	candor	1
1933-Roosevelt	situation	1
1933-Roosevelt	nation	6
1961-Kennedy	nation	2
1933-Roosevelt	impels	1
1933-Roosevelt	preeminently	1
1933-Roosevelt	frankly	2
1933-Roosevelt	boldly	1
1933-Roosevelt	honestly	1
1933-Roosevelt	facing	1
1933-Roosevelt	conditions	1
1933-Roosevelt	today	2
1961-Kennedy	today	3
1933-Roosevelt	endured	1
1933-Roosevelt	revive	1
1933-Roosevelt	prosper	1
1933-Roosevelt	let	1
1961-Kennedy	let	16
1933-Roosevelt	belief	2
1961-Kennedy	belief	1
1933-Roosevelt	thing	1
1933-Roosevelt	fear	2
1961-Kennedy	fear	2
1933-Roosevelt	nameless	1
1933-Roosevelt	unreasoning	1
1933-Roosevelt	unjustified	1
1933-Roosevelt	terror	1
1961-Kennedy	terror	1
1933-Roosevelt	paralyzes	1
1933-Roosevelt	needed	2
1933-Roosevelt	efforts	4
1961-Kennedy	efforts	1
1933-Roosevelt	convert	1
1961-Kennedy	convert	1
1933-Roosevelt	retreat	1
1933-Roosevelt	advance	1
1933-Roosevelt	dark	3
1961-Kennedy	dark	1
1933-Roosevelt	hour	1
1961-Kennedy	hour	1
1933-Roosevelt	life	2
1961-Kennedy	life	3
1933-Roosevelt	leadership	7
1933-Roosevelt	frankness	1
1933-Roosevelt	vigor	1
1933-Roosevelt	met	2
1933-Roosevelt	understanding	1
1933-Roosevelt	victory	1
1961-Kennedy	victory	1
1933-Roosevelt	convinced	1
1933-Roosevelt	give	2
1961-Kennedy	give	1
1933-Roosevelt	critical	2
1933-Roosevelt	days	4
1961-Kennedy	days	2
1933-Roosevelt	spirit	3
1933-Roosevelt	common	3
1961-Kennedy	common	1
1933-Roosevelt	difficulties	1
1933-Roosevelt	concern	1
1933-Roosevelt	thank	1
1933-Roosevelt	god	2
1961-Kennedy	god	2
1933-Roosevelt	things	2
1933-Roosevelt	values	4
1933-Roosevelt	shrunken	1
1933-Roosevelt	fantastic	1
1933-Roosevelt	levels	1
1933-Roosevelt	taxes	1
1933-Roosevelt	risen	1
1933-Roosevelt	pay	1
1961-Kennedy	pay	1
1933-Roosevelt	fallen	1
1933-Roosevelt	kinds	1
1933-Roosevelt	faced	2
1933-Roosevelt	serious	1
1961-Kennedy	serious	1
1933-Roosevelt	curtailment	1
1933-Roosevelt	income	2
1933-Roosevelt	exchange	2
1961-Kennedy	exchange	1
1933-Roosevelt	frozen	1
1933-Roosevelt	currents	1
1933-Roosevelt	withered	1
1933-Roosevelt	leaves	1
1933-Roosevelt	industrial	2
1933-Roosevelt	enterprise	1
1933-Roosevelt	lie	2
1933-Roosevelt	farmers	1
1933-Roosevelt	markets	1
1933-Roosevelt	savings	1
1933-Roosevelt	thousands	1
1933-Roosevelt	families	1
1933-Roosevelt	gone	1
1933-Roosevelt	important	3
1933-Roosevelt	host	1
1961-Kennedy	host	1
1933-Roosevelt	unemployed	1
1933-Roosevelt	grim	1
1933-Roosevelt	problem	2
1933-Roosevelt	equally	1
1933-Roosevelt	number	1
1933-Roosevelt	toil	1
1933-Roosevelt	foolish	1
1933-Roosevelt	optimist	1
1933-Roosevelt	realities	1
1933-Roosevelt	moment	1
1933-Roosevelt	distress	1
1933-Roosevelt	comes	2
1933-Roosevelt	failure	3
1961-Kennedy	failure	1
1933-Roosevelt	substance	1
1933-Roosevelt	stricken	3
1933-Roosevelt	plague	1
1933-Roosevelt	locusts	1
1933-Roosevelt	compared	1
1933-Roosevelt	forefathers	1
1933-Roosevelt	conquered	1
1933-Roosevelt	because	5
1961-Kennedy	because	3
1933-Roosevelt	believed	1
1933-Roosevelt	afraid	1
1933-Roosevelt	thankful	1
1933-Roosevelt	offers	1
1933-Roosevelt	her	1
1933-Roosevelt	bounty	1
1933-Roosevelt	multiplied	1
1933-Roosevelt	plenty	1
1933-Roosevelt	doorstep	1
1933-Roosevelt	generous	1
1933-Roosevelt	use	3
1933-Roosevelt	languishes	2
1933-Roosevelt	sight	1
1933-Roosevelt	supply	1
1933-Roosevelt	primarily	1
1933-Roosevelt	mankind's	1
1961-Kennedy	mankind's	1
1933-Roosevelt	goods	1
1933-Roosevelt	failed	2
1933-Roosevelt	stubbornness	1
1933-Roosevelt	incompetence	1
1933-Roosevelt	abdicated	1
1933-Roosevelt	practices	1
1933-Roosevelt	unscrupulous	1
1933-Roosevelt	money	5
1933-Roosevelt	changers	2
1933-Roosevelt	indicted	1
1933-Roosevelt	rejected	1
1933-Roosevelt	hearts	1
1933-Roosevelt	minds	1
1933-Roosevelt	men	2
1961-Kennedy	men	1
1933-Roosevelt	tried	1
1933-Roosevelt	cast	1
1933-Roosevelt	pattern	1
1933-Roosevelt	outworn	1
1933-Roosevelt	tradition	1
1933-Roosevelt	credit	1
1933-Roosevelt	lending	1
1933-Roosevelt	stripped	1
1933-Roosevelt	lure	1
1933-Roosevelt	profit	3
1933-Roosevelt	induce	1
1933-Roosevelt	follow	1
1933-Roosevelt	false	2
1933-Roosevelt	resorted	1
1933-Roosevelt	exhortations	1
1933-Roosevelt	pleading	1
1933-Roosevelt	tearfully	1
1933-Roosevelt	restored	1
1933-Roosevelt	know	2
1961-Kennedy	know	3
1933-Roosevelt	generation	1
1961-Kennedy	generation	3
1933-Roosevelt	self-seekers	1
1933-Roosevelt	vision	2
1933-Roosevelt	perish	1
1933-Roosevelt	fled	1
1933-Roosevelt	seats	1
1933-Roosevelt	temple	2
1933-Roosevelt	civilization	1
1933-Roosevelt	restore	2
1933-Roosevelt	ancient	1
1961-Kennedy	ancient	1
1933-Roosevelt	truths	1
1933-Roosevelt	measure	1
1933-Roosevelt	lies	3
1933-Roosevelt	apply	1
1933-Roosevelt	social	1
1933-Roosevelt	noble	1
1933-Roosevelt	monetary	1
1933-Roosevelt	happiness	1
1933-Roosevelt	possession	1
1933-Roosevelt	joy	2
1933-Roosevelt	achievement	1
1933-Roosevelt	thrill	1
1933-Roosevelt	creative	1
1933-Roosevelt	stimulation	1
1933-Roosevelt	work	3
1961-Kennedy	work	1
1933-Roosevelt	longer	1
1933-Roosevelt	forgotten	1
1933-Roosevelt	mad	1
1933-Roosevelt	chase	1
1933-Roosevelt	evanescent	1
1933-Roosevelt	profits	1
1933-Roosevelt	worth	1
1933-Roosevelt	cost	2
1961-Kennedy	cost	1
1933-Roosevelt	us	6
1961-Kennedy	us	12
1933-Roosevelt	teach	1
1933-Roosevelt	destiny	1
1933-Roosevelt	ministered	1
1933-Roosevelt	unto	1
1933-Roosevelt	minister	1
1933-Roosevelt	ourselves	2
1933-Roosevelt	recognition	2
1933-Roosevelt	falsity	1
1933-Roosevelt	wealth	1
1933-Roosevelt	standard	1
1933-Roosevelt	goes	1
1933-Roosevelt	hand	4
1961-Kennedy	hand	2
1933-Roosevelt	abandonment	1
1933-Roosevelt	valued	1
1933-Roosevelt	standards	1
1961-Kennedy	standards	1
1933-Roosevelt	pride	1
1933-Roosevelt	place	1
1961-Kennedy	place	1
1933-Roosevelt	end	3
1961-Kennedy	end	1
1933-Roosevelt	conduct	1
1933-Roosevelt	banking	2
1933-Roosevelt	business	1
1933-Roosevelt	often	2
1933-Roosevelt	sacred	2
1933-Roosevelt	likeness	1
1933-Roosevelt	callous	1
1933-Roosevelt	selfish	1
1933-Roosevelt	wrongdoing	1
1933-Roosevelt	small	2
1933-Roosevelt	wonder	1
1933-Roosevelt	thrives	1
1933-Roosevelt	honesty	1
1933-Roosevelt	honor	1
1933-Roosevelt	sacredness	1
1933-Roosevelt	obligations	2
1933-Roosevelt	faithful	1
1961-Kennedy	faithful	1
1933-Roosevelt	unselfish	1
1933-Roosevelt	performance	2
1933-Roosevelt	cannot	2
1961-Kennedy	cannot	4
1933-Roosevelt	calls	1
1933-Roosevelt	ethics	1
1933-Roosevelt	alone	1
1933-Roosevelt	asks	1
1933-Roosevelt	greatest	1
1933-Roosevelt	primary	1
1933-Roosevelt	put	1
1933-Roosevelt	unsolvable	1
1933-Roosevelt	courageously	1
1933-Roosevelt	accomplished	1
1933-Roosevelt	recruiting	1
1933-Roosevelt	treating	1
1933-Roosevelt	treat	1
1933-Roosevelt	emergency	4
1933-Roosevelt	employment	1
1933-Roosevelt	accomplishing	1
1933-Roosevelt	projects	1
1933-Roosevelt	stimulate	1
1933-Roosevelt	reorganize	1
1933-Roosevelt	natural	1
1933-Roosevelt	resources	1
1933-Roosevelt	overbalance	1
1933-Roosevelt	population	1
1933-Roosevelt	centers	1
1933-Roosevelt	engaging	1
1933-Roosevelt	scale	1
1933-Roosevelt	redistribution	1
1933-Roosevelt	endeavor	1
1961-Kennedy	endeavor	2
1933-Roosevelt	fitted	1
1933-Roosevelt	helped	7
1933-Roosevelt	definite	1
1933-Roosevelt	raise	1
1933-Roosevelt	agricultural	1
1933-Roosevelt	products	1
1933-Roosevelt	purchase	1
1933-Roosevelt	output	1
1933-Roosevelt	cities	1
1933-Roosevelt	preventing	1
1933-Roosevelt	realistically	1
1933-Roosevelt	tragedy	1
1933-Roosevelt	growing	1
1933-Roosevelt	foreclosure	1
1933-Roosevelt	homes	1
1933-Roosevelt	farms	1
1933-Roosevelt	insistence	2
1933-Roosevelt	local	1
1933-Roosevelt	forthwith	1
1933-Roosevelt	demand	2
1933-Roosevelt	drastically	1
1933-Roosevelt	reduced	1
1933-Roosevelt	unifying	1
1933-Roosevelt	relief	1
1933-Roosevelt	activities	1
1933-Roosevelt	scattered	1
1933-Roosevelt	uneconomical	1
1933-Roosevelt	unequal	1
1933-Roosevelt	planning	1
1933-Roosevelt	supervision	2
1933-Roosevelt	forms	1
1961-Kennedy	forms	2
1933-Roosevelt	transportation	1
1933-Roosevelt	communications	1
1933-Roosevelt	utilities	1
1933-Roosevelt	definitely	1
1933-Roosevelt	character	1
1933-Roosevelt	ways	1
1933-Roosevelt	talking	1
1933-Roosevelt	quickly	1
1933-Roosevelt	progress	2
1961-Kennedy	progress	1
1933-Roosevelt	toward	1
1933-Roosevelt	resumption	1
1933-Roosevelt	credits	1
1933-Roosevelt	investments	1
1933-Roosevelt	speculation	1
1933-Roosevelt	people's	1
1933-Roosevelt	adequate	2
1933-Roosevelt	sound	2
1933-Roosevelt	currency	1
1933-Roosevelt	lines	1
1933-Roosevelt	attack	2
1933-Roosevelt	presently	1
1933-Roosevelt	urge	1
1933-Roosevelt	session	1
1933-Roosevelt	detailed	1
1933-Roosevelt	measures	4
1933-Roosevelt	fulfillment	1
1933-Roosevelt	assistance	1
1933-Roosevelt	program	1
1933-Roosevelt	putting	2
1933-Roosevelt	house	1
1961-Kennedy	house	1
1933-Roosevelt	making	1
1933-Roosevelt	outgo	1
1933-Roosevelt	international	2
1933-Roosevelt	relations	2
1933-Roosevelt	vastly	1
1933-Roosevelt	secondary	1
1933-Roosevelt	establishment	1
1933-Roosevelt	economy	1
1933-Roosevelt	spare	1
1933-Roosevelt	economic	1
1933-Roosevelt	readjustment	1
1933-Roosevelt	home	1
1961-Kennedy	home	1
1933-Roosevelt	wait	1
1933-Roosevelt	accomplishment	1
1933-Roosevelt	basic	1
1933-Roosevelt	guides	1
1933-Roosevelt	specific	1
1933-Roosevelt	recovery	3
1933-Roosevelt	narrowly	1
1933-Roosevelt	nationalistic	1
1933-Roosevelt	interdependence	2
1933-Roosevelt	various	1
1933-Roosevelt	elements	1
1933-Roosevelt	permanently	1
1933-Roosevelt	manifestation	1
1933-Roosevelt	pioneer	1
1933-Roosevelt	strongest	1
1933-Roosevelt	assurance	2
1933-Roosevelt	field	1
1933-Roosevelt	dedicate	1
1933-Roosevelt	neighbor	3
1933-Roosevelt	resolutely	1
1933-Roosevelt	respects	4
1933-Roosevelt	himself	1
1933-Roosevelt	sanctity	1
1933-Roosevelt	agreements	1
1933-Roosevelt	neighbors	1
1961-Kennedy	neighbors	1
1933-Roosevelt	correctly	1
1933-Roosevelt	realize	1
1933-Roosevelt	realized	1
1933-Roosevelt	forward	1
1933-Roosevelt	move	1
1933-Roosevelt	trained	1
1933-Roosevelt	loyal	1
1933-Roosevelt	army	2
1933-Roosevelt	willing	2
1933-Roosevelt	sacrifice	1
1961-Kennedy	sacrifice	1
1933-Roosevelt	discipline	4
1933-Roosevelt	becomes	1
1933-Roosevelt	effective	1
1933-Roosevelt	ready	1
1933-Roosevelt	submit	1
1933-Roosevelt	lives	1
1933-Roosevelt	makes	1
1933-Roosevelt	aims	1
1933-Roosevelt	larger	2
1933-Roosevelt	propose	1
1933-Roosevelt	offer	1
1961-Kennedy	offer	2
1933-Roosevelt	pledging	1
1933-Roosevelt	bind	1
1933-Roosevelt	unity	2
1933-Roosevelt	hitherto	1
1933-Roosevelt	evoked	1
1933-Roosevelt	strife	2
1933-Roosevelt	pledge	1
1961-Kennedy	pledge	7
1933-Roosevelt	assume	1
1933-Roosevelt	unhesitatingly	1
1933-Roosevelt	dedicated	1
1933-Roosevelt	disciplined	1
1961-Kennedy	disciplined	1
1933-Roosevelt	problems	1
1961-Kennedy	problems	2
1933-Roosevelt	image	1
1933-Roosevelt	feasible	1
1933-Roosevelt	inherited	1
1933-Roosevelt	ancestors	1
1933-Roosevelt	meet	3
1961-Kennedy	meet	2
1933-Roosevelt	extraordinary	1
1933-Roosevelt	emphasis	1
1933-Roosevelt	system	1
1933-Roosevelt	proved	1
1933-Roosevelt	superbly	1
1933-Roosevelt	enduring	1
1933-Roosevelt	mechanism	1
1933-Roosevelt	modern	1
1961-Kennedy	modern	1
1933-Roosevelt	produced	1
1933-Roosevelt	stress	1
1933-Roosevelt	vast	1
1933-Roosevelt	expansion	1
